Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
CIM,G1,"a-50.0_Bnv175.0_z0.6_blin(0,0.01)",alpha=-50.00,B_num_vertices=175.00,0.10,0.10,0.00,0.06,2.00
CIM,G2,"a-50.0_Bnv175.0_z0.6_blin(0,0.01)",alpha=-50.00,B_num_vertices=175.00,0.14,0.14,0.00,0.05,1.00
CIM,G3,"a-50.0_Bnv150.0_z0.6_blin(0,0.01)",alpha=-50.00,B_num_vertices=150.00,0.10,0.10,0.01,0.05,0.00
CIM,G4,"a-50.0_Bnv175.0_z0.6_blin(0,0.01)",alpha=-50.00,B_num_vertices=175.00,0.14,0.13,0.00,0.06,2.00
CIM,G5,"a-50.0_Bnv175.0_z0.6_blin(0,0.01)",alpha=-50.00,B_num_vertices=175.00,0.08,0.04,0.00,0.08,5.00
FIXED_AMPLITUDE,G1,"glin(0,10.0)",,,1.45,1.45,0.99,0.16,0.00
FIXED_AMPLITUDE,G2,"glin(0,10.0)",,,1.42,1.42,0.97,0.17,0.00
FIXED_AMPLITUDE,G3,"glin(0,10.0)",,,1.44,1.44,1.01,0.19,0.00
FIXED_AMPLITUDE,G4,"glin(0,10.0)",,,1.40,1.40,1.07,0.15,0.00
FIXED_AMPLITUDE,G5,"glin(0,10.0)",,,1.47,1.48,1.02,0.16,0.00
NEC,G1,ar1.00e-02_rt2.1_ia-mu_max_gpf8.0,gamma_factor=8.00,r_target=2.10,0.25,0.24,0.16,0.05,0.00
NEC,G2,ar1.00e-02_rt2.2_ia-mu_max_gpf7.75,gamma_factor=7.75,r_target=2.20,0.30,0.22,0.15,0.09,0.00
NEC,G3,ar1.00e-02_rt2.1_ia-mu_max_gpf8.0,gamma_factor=8.00,r_target=2.10,0.30,0.31,0.11,0.06,0.00
NEC,G4,ar1.00e-02_rt2.2_ia-mu_max_gpf8.0,gamma_factor=8.00,r_target=2.20,0.32,0.32,0.16,0.10,0.00
NEC,G5,ar1.00e-02_rt2.4000000000000004_ia-mu_max_gpf7.75,gamma_factor=7.75,r_target=2.40,0.27,0.22,0.21,0.09,0.00
POLYNOMIAL,G1,"po3_blin(1/mu_max, 1/mu_max + 2)_gf0.8",poly_order=3.00,gamma_factor=0.80,1.02,1.03,0.57,0.16,0.00
POLYNOMIAL,G2,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.4000000000000001",poly_order=3.00,gamma_factor=1.40,1.02,1.01,0.66,0.17,0.00
POLYNOMIAL,G3,"po3_blin(1/mu_max, 1/mu_max + 2)_gf0.8",poly_order=3.00,gamma_factor=0.80,0.98,0.99,0.64,0.15,0.00
POLYNOMIAL,G4,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.4000000000000001",poly_order=3.00,gamma_factor=1.40,1.01,1.03,0.61,0.14,0.00
POLYNOMIAL,G5,"po3_blin(1/mu_max, 1/mu_max + 2)_gf0.8",poly_order=3.00,gamma_factor=0.80,1.06,1.07,0.61,0.20,0.00
QPDC,G1,po5_bconst(1/(1+ave_abs_j))_gpf1.0,gamma_factor=1.00,,1.21,1.23,0.80,0.16,0.00
QPDC,G2,po5_bconst(1/(1+ave_abs_j))_gpf0.9,gamma_factor=0.90,,1.22,1.24,0.79,0.16,0.00
QPDC,G3,po5_bconst(1/(1+ave_abs_j))_gpf1.1,gamma_factor=1.10,,1.18,1.17,0.75,0.20,0.00
QPDC,G4,po5_bconst(1/(1+ave_abs_j))_gpf0.8,gamma_factor=0.80,,1.19,1.18,0.95,0.14,0.00
QPDC,G5,po5_bconst(1/(1+ave_abs_j))_gpf0.9,gamma_factor=0.90,,1.24,1.27,0.61,0.20,0.00
SIGMOID,G1,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.0",gamma_factor=5.00,alpha=-50.00,0.67,0.68,0.35,0.12,0.00
SIGMOID,G2,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.5",gamma_factor=5.50,alpha=-50.00,0.61,0.60,0.44,0.07,0.00
SIGMOID,G3,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf4.5",gamma_factor=4.50,alpha=-50.00,0.49,0.36,0.34,0.17,0.00
SIGMOID,G4,"a-40.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.0",gamma_factor=5.00,alpha=-40.00,0.53,0.57,0.40,0.09,0.00
SIGMOID,G5,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf3.5",gamma_factor=3.50,alpha=-50.00,0.59,0.56,0.56,0.08,0.00
