Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
NEC,g05_10.0,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.1,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.2,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.3,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.4,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.5,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.6,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.7,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.8,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_10.9,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.0,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.1,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.2,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.3,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.4,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.5,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.6,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.7,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.8,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_20.9,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.0,ar1.00e-02_rt0.25_ia-mu_max_gpf11.0,gamma_factor=11.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.1,ar1.00e-02_rt0.25_ia-mu_max_gpf2.0,gamma_factor=2.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.2,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.3,ar1.00e-02_rt0.25_ia-mu_max_gpf10.0,gamma_factor=10.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.4,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.5,ar1.00e-02_rt0.75_ia-mu_max_gpf13.0,gamma_factor=13.00,r_target=0.75,0.09,0.00,0.00,0.21,84.00
NEC,g05_30.6,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.7,ar1.00e-02_rt0.25_ia-mu_max_gpf2.0,gamma_factor=2.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.8,ar1.00e-02_rt0.25_ia-mu_max_gpf10.0,gamma_factor=10.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_30.9,ar1.00e-02_rt0.5_ia-mu_max_gpf19.0,gamma_factor=19.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.0,ar1.00e-02_rt0.5_ia-mu_max_gpf21.0,gamma_factor=21.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.1,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.2,ar1.00e-02_rt0.5_ia-mu_max_gpf21.0,gamma_factor=21.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.3,ar1.00e-02_rt0.75_ia-mu_max_gpf11.0,gamma_factor=11.00,r_target=0.75,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.4,ar1.00e-02_rt0.25_ia-mu_max_gpf16.0,gamma_factor=16.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.5,ar1.00e-02_rt0.25_ia-mu_max_gpf10.0,gamma_factor=10.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.6,ar1.00e-02_rt0.25_ia-mu_max_gpf18.0,gamma_factor=18.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.7,ar1.00e-02_rt0.25_ia-mu_max_gpf10.0,gamma_factor=10.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.8,ar1.00e-02_rt0.25_ia-mu_max_gpf5.0,gamma_factor=5.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_40.9,ar1.00e-02_rt0.25_ia-mu_max_gpf2.0,gamma_factor=2.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.0,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.1,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.2,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.3,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.4,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.5,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.6,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
