Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
Reference IM,g05_10.0,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.1,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.2,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.3,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.4,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.5,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.6,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.7,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.8,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_10.9,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.0,"a-50.0_Bnv10.0_z0.15000000000000002_blin(0,0.005)",B_num_vertices=10.00,zeta=0.15,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.1,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.2,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.3,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.4,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.5,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.6,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.7,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.8,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_20.9,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_30.0,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_30.1,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_30.2,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
Reference IM,g05_30.3,"a-50.0_Bnv10.0_z0.25_blin(0,0.005)",B_num_vertices=10.00,zeta=0.25,0.00,0.00,0.00,0.00,100.00
