Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
NEC,G1,ar1.00e-02_rt2.1_ia-mu_max_gpf8.0,gamma_factor=8.00,r_target=2.10,0.25,0.24,0.16,0.05,0.00
NEC,G2,ar1.00e-02_rt1.9_ia-mu_max_gpf14.5,gamma_factor=14.50,r_target=1.90,0.25,0.23,0.13,0.11,0.00
NEC,G3,ar1.00e-02_rt2.2_ia-mu_max_gpf12.5,gamma_factor=12.50,r_target=2.20,0.21,0.17,0.13,0.08,0.00
NEC,G4,ar1.00e-02_rt2.2_ia-mu_max_gpf10.5,gamma_factor=10.50,r_target=2.20,0.26,0.20,0.14,0.09,0.00
NEC,G5,ar1.00e-02_rt2.1_ia-mu_max_gpf10.0,gamma_factor=10.00,r_target=2.10,0.26,0.25,0.15,0.05,0.00
Polynomial PM,G1,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.8000000000000003",poly_order=3.00,gamma_factor=2.80,0.85,0.84,0.42,0.15,0.00
Polynomial PM,G2,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.8000000000000003",poly_order=3.00,gamma_factor=2.80,0.84,0.85,0.57,0.11,0.00
Polynomial PM,G3,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.8000000000000003",poly_order=3.00,gamma_factor=2.80,0.78,0.76,0.47,0.16,0.00
Polynomial PM,G4,"po3_blin(1/mu_max, 1/mu_max + 2)_gf3.8000000000000003",poly_order=3.00,gamma_factor=3.80,0.85,0.86,0.58,0.12,0.00
Polynomial PM,G5,"po3_blin(1/mu_max, 1/mu_max + 2)_gf3.0",poly_order=3.00,gamma_factor=3.00,0.81,0.80,0.45,0.16,0.00
Reference IM,G1,"a-50.0_Bnv200.0_z0.55_blin(0,0.01)",B_num_vertices=200.00,zeta=0.55,0.09,0.09,0.00,0.05,1.00
Reference IM,G2,"a-50.0_Bnv200.0_z0.55_blin(0,0.01)",B_num_vertices=200.00,zeta=0.55,0.12,0.11,0.05,0.04,0.00
Reference IM,G3,"a-50.0_Bnv190.0_z0.55_blin(0,0.01)",B_num_vertices=190.00,zeta=0.55,0.08,0.08,0.01,0.04,0.00
Reference IM,G4,"a-50.0_Bnv200.0_z0.5_blin(0,0.01)",B_num_vertices=200.00,zeta=0.50,0.14,0.14,0.00,0.05,1.00
Reference IM,G5,"a-50.0_Bnv200.0_z0.5_blin(0,0.01)",B_num_vertices=200.00,zeta=0.50,0.06,0.03,0.00,0.07,10.00
Sigmoid PM,G1,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.0",gamma_factor=5.00,alpha=-50.00,0.67,0.68,0.35,0.12,0.00
Sigmoid PM,G2,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.5",gamma_factor=5.50,alpha=-50.00,0.61,0.60,0.44,0.07,0.00
Sigmoid PM,G3,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf4.5",gamma_factor=4.50,alpha=-50.00,0.49,0.36,0.34,0.17,0.00
Sigmoid PM,G4,"a-40.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf5.0",gamma_factor=5.00,alpha=-40.00,0.53,0.57,0.40,0.09,0.00
Sigmoid PM,G5,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf3.5",gamma_factor=3.50,alpha=-50.00,0.59,0.56,0.56,0.08,0.00
q-PDC,G1,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf46.0,gamma_factor=46.00,,4.89,4.87,4.17,0.31,0.00
q-PDC,G2,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf38.0,gamma_factor=38.00,,4.87,4.87,3.82,0.33,0.00
q-PDC,G3,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf40.0,gamma_factor=40.00,,4.93,4.90,4.17,0.32,0.00
q-PDC,G4,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf50.0,gamma_factor=50.00,,4.89,4.90,4.12,0.31,0.00
q-PDC,G5,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf24.0,gamma_factor=24.00,,4.99,4.98,4.19,0.33,0.00
q-SHIL,G1,"glin(0,10.0)",,,1.45,1.45,0.99,0.16,0.00
q-SHIL,G2,"glin(0,10.0)",,,1.42,1.42,0.97,0.17,0.00
q-SHIL,G3,"glin(0,10.0)",,,1.44,1.44,1.01,0.19,0.00
q-SHIL,G4,"glin(0,10.0)",,,1.40,1.40,1.07,0.15,0.00
q-SHIL,G5,"glin(0,10.0)",,,1.47,1.48,1.02,0.16,0.00
