Model,Graph,Hyperparameter 1,Hyperparameter 2,Mean relative optimality gap (%),Median relative optimality gap (%),Minimum relative optimality gap (%),Standard deviation on relative optimality gap (%)
Polynomial,G1,poly_order=3,gamma_factor=2.80,0.85,0.84,0.42,0.15
Polynomial,G2,poly_order=3,gamma_factor=2.80,0.84,0.85,0.57,0.11
Polynomial,G3,poly_order=3,gamma_factor=2.80,0.78,0.76,0.47,0.16
Polynomial,G4,poly_order=3,gamma_factor=3.00,0.86,0.86,0.55,0.13
Polynomial,G5,poly_order=3,gamma_factor=3.00,0.81,0.80,0.45,0.16
q-PDC,G1,gamma_rate/gamma_th=0.48,,4.01,4.04,3.37,0.24
q-PDC,G2,gamma_rate/gamma_th=0.48,,4.02,4.01,3.34,0.25
q-PDC,G3,gamma_rate/gamma_th=0.48,,4.05,4.06,3.38,0.24
q-PDC,G4,gamma_rate/gamma_th=0.48,,4.07,4.10,3.54,0.24
q-PDC,G5,gamma_rate/gamma_th=0.48,,4.15,4.15,3.69,0.25
